run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha5,5,100000,5,1,1,50000,ours,sampling,0,98704,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/ours/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,ours,enum_sampling,0,95396,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/ours/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,ours,adaptive,0,102832,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/ours/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,aabb,sampling,0,32616,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/aabb/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,aabb,enum_sampling,0,34848,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/aabb/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,aabb,adaptive,0,44948,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/aabb/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,interval_tree,sampling,0,150588,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/interval_tree/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,interval_tree,enum_sampling,0,145196,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/interval_tree/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,interval_tree,adaptive,0,266444,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/interval_tree/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,kd_tree,sampling,0,34880,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/kd_tree/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,kd_tree,enum_sampling,0,31448,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/kd_tree/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,kd_tree,adaptive,0,45684,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/kd_tree/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,r_tree,sampling,0,25556,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/r_tree/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,r_tree,enum_sampling,0,36324,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/r_tree/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,r_tree,adaptive,0,34996,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/r_tree/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,range_tree,sampling,0,43528,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/range_tree/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,range_tree,enum_sampling,0,46676,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/range_tree/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,range_tree,adaptive,0,78916,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/range_tree/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,pbsm,sampling,0,10748,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/pbsm/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,pbsm,enum_sampling,0,10756,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/pbsm/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,pbsm,adaptive,0,13160,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/pbsm/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,tlsop,sampling,0,25960,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/tlsop/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,tlsop,enum_sampling,0,25976,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/tlsop/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,tlsop,adaptive,0,28288,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/tlsop/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,sirs,sampling,0,15212,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/sirs/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,sirs,enum_sampling,0,14224,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/sirs/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,sirs,adaptive,0,16644,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/sirs/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,rejection,sampling,0,48964,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/rejection/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,rejection,enum_sampling,0,49936,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/rejection/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,rejection,adaptive,0,52116,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/rejection/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,tsunami,sampling,0,22548,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/tsunami/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,tsunami,enum_sampling,0,21456,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/tsunami/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,50000,tsunami,adaptive,0,23828,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N50000/tsunami/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,ours,sampling,0,198320,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/ours/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,ours,enum_sampling,0,185336,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/ours/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,ours,adaptive,0,196172,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/ours/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,aabb,sampling,0,60940,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/aabb/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,aabb,enum_sampling,0,65200,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/aabb/enum_sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,aabb,adaptive,0,85568,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/aabb/adaptive/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,interval_tree,sampling,0,304276,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/interval_tree/sampling/run.csv
20251228_165406,alpha5,5,100000,5,1,1,100000,interval_tree,enum_sampling,0,292652,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N100000/interval_tree/enum_sampling/run.csv
