autocorr_lag1,chi2_p,count,count_kind,ks_p,log_file,method,missing_in_universe,oracle,rel_err,rep,samples,seed,status,t,variant
-0.0015727299540718427,0.402029440620366,4000.0,exact,0.7690890438607617,kd_tree__adaptive.log,kd_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
-0.004609204324744076,0.1840448766307215,4000.0,exact,0.20596039231338883,kd_tree__adaptive.log,kd_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
-0.00037196799834384364,0.48222615696587,4000.0,exact,0.10230591474287101,kd_tree__adaptive.log,kd_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
-0.0017362214854404234,0.06883054713252637,4000.0,exact,0.4900814620723921,kd_tree__adaptive.log,kd_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
-0.006056065342655588,0.7980435461255109,4000.0,exact,0.47222477189396295,kd_tree__enum_sampling.log,kd_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,enum_sampling
-0.0015727299540718427,0.402029440620366,4000.0,exact,0.7690890438607617,kd_tree__enum_sampling.log,kd_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,enum_sampling
-0.004609204324744076,0.1840448766307215,4000.0,exact,0.20596039231338883,kd_tree__enum_sampling.log,kd_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,enum_sampling
-0.00037196799834384364,0.48222615696587,4000.0,exact,0.10230591474287101,kd_tree__enum_sampling.log,kd_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,enum_sampling
-0.0017362214854404234,0.06883054713252637,4000.0,exact,0.4900814620723921,kd_tree__enum_sampling.log,kd_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,enum_sampling
0.002814639852840758,0.060028384642273246,4000.0,exact,0.18451724643613632,kd_tree__sampling.log,kd_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,sampling
-0.0004113257057512553,0.5264676958796422,4000.0,exact,0.9506058189402511,kd_tree__sampling.log,kd_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,sampling
0.007464597263925015,0.49935067343245154,4000.0,exact,0.7862745644139565,kd_tree__sampling.log,kd_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,sampling
-0.002408911124481328,0.6378306741261957,4000.0,exact,0.34715486103337656,kd_tree__sampling.log,kd_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,sampling
-0.0004944325206754551,0.31108863103926065,4000.0,exact,0.2744981573112754,kd_tree__sampling.log,kd_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,sampling
0.002791685857078888,0.7980435461255109,4000.0,exact,0.4006278445483807,ours__adaptive.log,ours,0.0,4000.0,0.0,0,100000,1,OK,100000,adaptive
-0.003224188675193975,0.402029440620366,4000.0,exact,0.9184614698732596,ours__adaptive.log,ours,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
0.000750256323925539,0.1840448766307215,4000.0,exact,0.9374969042548877,ours__adaptive.log,ours,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
-0.0025111882404792746,0.48222615696587,4000.0,exact,0.8265733753350722,ours__adaptive.log,ours,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
-0.0005671247311334963,0.06883054713252637,4000.0,exact,0.0764718574473898,ours__adaptive.log,ours,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
0.002791685857078888,0.7980435461255109,4000.0,exact,0.4006278445483807,ours__enum_sampling.log,ours,0.0,4000.0,0.0,0,100000,1,OK,100000,enum_sampling
-0.003224188675193975,0.402029440620366,4000.0,exact,0.9184614698732596,ours__enum_sampling.log,ours,0.0,4000.0,0.0,1,100000,2,OK,100000,enum_sampling
0.000750256323925539,0.1840448766307215,4000.0,exact,0.9374969042548877,ours__enum_sampling.log,ours,0.0,4000.0,0.0,2,100000,3,OK,100000,enum_sampling
-0.0025111882404792746,0.48222615696587,4000.0,exact,0.8265733753350722,ours__enum_sampling.log,ours,0.0,4000.0,0.0,3,100000,4,OK,100000,enum_sampling
-0.0005671247311334963,0.06883054713252637,4000.0,exact,0.0764718574473898,ours__enum_sampling.log,ours,0.0,4000.0,0.0,4,100000,5,OK,100000,enum_sampling
0.0007377297802984099,0.46089164453191833,4000.0,exact,0.9922042280975936,ours__sampling.log,ours,0.0,4000.0,0.0,0,100000,1,OK,100000,sampling
0.0040207092309813945,0.9379385040751428,4000.0,exact,0.5595543474767775,ours__sampling.log,ours,0.0,4000.0,0.0,1,100000,2,OK,100000,sampling
0.0035598120362150786,0.7813329309071328,4000.0,exact,0.007673701856516173,ours__sampling.log,ours,0.0,4000.0,0.0,2,100000,3,OK,100000,sampling
-0.002015749459264655,0.2463270593743492,4000.0,exact,0.6412078169340206,ours__sampling.log,ours,0.0,4000.0,0.0,3,100000,4,OK,100000,sampling
-0.0008636256496739739,0.37776650650671173,4000.0,exact,0.8473006832803122,ours__sampling.log,ours,0.0,4000.0,0.0,4,100000,5,OK,100000,sampling
,,,,,parse_logs.log,,,,,,,,NO_RUN_BLOCKS,,
0.0006210680566198211,0.7980435461255109,4000.0,exact,0.34534498800362823,pbsm__adaptive.log,pbsm,0.0,4000.0,0.0,0,100000,1,OK,100000,adaptive
0.004170294538128525,0.402029440620366,4000.0,exact,0.009454770060669884,pbsm__adaptive.log,pbsm,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
-0.0013476597400788658,0.1840448766307215,4000.0,exact,0.10095488555039941,pbsm__adaptive.log,pbsm,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
0.0008331003210212721,0.48222615696587,4000.0,exact,0.9342564324876518,pbsm__adaptive.log,pbsm,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
-0.0005528461079118078,0.06883054713252637,4000.0,exact,0.23073189459573076,pbsm__adaptive.log,pbsm,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
0.0006210680566198211,0.7980435461255109,4000.0,exact,0.34534498800362823,pbsm__enum_sampling.log,pbsm,0.0,4000.0,0.0,0,100000,1,OK,100000,enum_sampling
0.004170294538128525,0.402029440620366,4000.0,exact,0.009454770060669884,pbsm__enum_sampling.log,pbsm,0.0,4000.0,0.0,1,100000,2,OK,100000,enum_sampling
-0.0013476597400788658,0.1840448766307215,4000.0,exact,0.10095488555039941,pbsm__enum_sampling.log,pbsm,0.0,4000.0,0.0,2,100000,3,OK,100000,enum_sampling
0.0008331003210212721,0.48222615696587,4000.0,exact,0.9342564324876518,pbsm__enum_sampling.log,pbsm,0.0,4000.0,0.0,3,100000,4,OK,100000,enum_sampling
-0.0005528461079118078,0.06883054713252637,4000.0,exact,0.23073189459573076,pbsm__enum_sampling.log,pbsm,0.0,4000.0,0.0,4,100000,5,OK,100000,enum_sampling
0.0006210680566198211,0.7980435461255109,4000.0,exact,0.34534498800362823,pbsm__sampling.log,pbsm,0.0,4000.0,0.0,0,100000,1,OK,100000,sampling
0.004170294538128525,0.402029440620366,4000.0,exact,0.009454770060669884,pbsm__sampling.log,pbsm,0.0,4000.0,0.0,1,100000,2,OK,100000,sampling
-0.0013476597400788658,0.1840448766307215,4000.0,exact,0.10095488555039941,pbsm__sampling.log,pbsm,0.0,4000.0,0.0,2,100000,3,OK,100000,sampling
0.0008331003210212721,0.48222615696587,4000.0,exact,0.9342564324876518,pbsm__sampling.log,pbsm,0.0,4000.0,0.0,3,100000,4,OK,100000,sampling
-0.0005528461079118078,0.06883054713252637,4000.0,exact,0.23073189459573076,pbsm__sampling.log,pbsm,0.0,4000.0,0.0,4,100000,5,OK,100000,sampling
0.003122156607902652,0.7980435461255109,4000.0,exact,0.14745074161328803,r_tree__adaptive.log,r_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,adaptive
-0.004210952482199515,0.402029440620366,4000.0,exact,0.874196729286916,r_tree__adaptive.log,r_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
0.005145883526163839,0.1840448766307215,4000.0,exact,0.6945126577411647,r_tree__adaptive.log,r_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
-0.0003486810395821075,0.48222615696587,4000.0,exact,0.7496233729089878,r_tree__adaptive.log,r_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
0.0033079293176671645,0.06883054713252637,4000.0,exact,0.518113047471334,r_tree__adaptive.log,r_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
0.003122156607902652,0.7980435461255109,4000.0,exact,0.14745074161328803,r_tree__enum_sampling.log,r_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,enum_sampling
-0.004210952482199515,0.402029440620366,4000.0,exact,0.874196729286916,r_tree__enum_sampling.log,r_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,enum_sampling
0.005145883526163839,0.1840448766307215,4000.0,exact,0.6945126577411647,r_tree__enum_sampling.log,r_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,enum_sampling
-0.0003486810395821075,0.48222615696587,4000.0,exact,0.7496233729089878,r_tree__enum_sampling.log,r_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,enum_sampling
0.0033079293176671645,0.06883054713252637,4000.0,exact,0.518113047471334,r_tree__enum_sampling.log,r_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,enum_sampling
0.0001863341586637062,0.24968983597098787,4000.0,exact,0.07490905697636717,r_tree__sampling.log,r_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,sampling
-0.0020058381395607894,0.030964165559159488,4000.0,exact,0.39406167180245893,r_tree__sampling.log,r_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,sampling
-0.0003978168432510862,0.29649977653020243,4000.0,exact,0.8859911979978407,r_tree__sampling.log,r_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,sampling
0.0024268258377131337,0.25620419972730757,4000.0,exact,0.12900869547674554,r_tree__sampling.log,r_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,sampling
-0.0008601497452718049,0.981113499216064,4000.0,exact,0.5757678654079346,r_tree__sampling.log,r_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,sampling
-0.0007080277112664544,0.7980435461255109,4000.0,exact,0.20811637418296713,range_tree__adaptive.log,range_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,adaptive
0.00027596884306150567,0.402029440620366,4000.0,exact,0.9817658134468012,range_tree__adaptive.log,range_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
0.002024169177641864,0.1840448766307215,4000.0,exact,0.07289700016331638,range_tree__adaptive.log,range_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
0.0012305056027897446,0.48222615696587,4000.0,exact,0.5306737517523176,range_tree__adaptive.log,range_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
-0.0011406780728627538,0.06883054713252637,4000.0,exact,0.1200657976920879,range_tree__adaptive.log,range_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
-0.0007080277112664544,0.7980435461255109,4000.0,exact,0.20811637418296713,range_tree__enum_sampling.log,range_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,enum_sampling
0.00027596884306150567,0.402029440620366,4000.0,exact,0.9817658134468012,range_tree__enum_sampling.log,range_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,enum_sampling
0.002024169177641864,0.1840448766307215,4000.0,exact,0.07289700016331638,range_tree__enum_sampling.log,range_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,enum_sampling
0.0012305056027897446,0.48222615696587,4000.0,exact,0.5306737517523176,range_tree__enum_sampling.log,range_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,enum_sampling
-0.0011406780728627538,0.06883054713252637,4000.0,exact,0.1200657976920879,range_tree__enum_sampling.log,range_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,enum_sampling
0.0036408925429887175,0.02435267821542883,4000.0,exact,0.7402763231119381,range_tree__sampling.log,range_tree,0.0,4000.0,0.0,0,100000,1,OK,100000,sampling
-0.0002239758690554223,0.8043615563144039,4000.0,exact,0.8690266788712349,range_tree__sampling.log,range_tree,0.0,4000.0,0.0,1,100000,2,OK,100000,sampling
-0.0007164794492254681,0.8237725189990968,4000.0,exact,0.19514397218933574,range_tree__sampling.log,range_tree,0.0,4000.0,0.0,2,100000,3,OK,100000,sampling
0.0018000679588350014,0.45132956766871646,4000.0,exact,0.549444005594158,range_tree__sampling.log,range_tree,0.0,4000.0,0.0,3,100000,4,OK,100000,sampling
0.0021117223198611687,0.40963438643062156,4000.0,exact,0.5966819654295739,range_tree__sampling.log,range_tree,0.0,4000.0,0.0,4,100000,5,OK,100000,sampling
0.0016477961140239045,0.7980435461255109,4000.0,exact,0.3713661406670344,rejection__adaptive.log,rejection,0.0,4000.0,0.0,0,100000,1,OK,100000,adaptive
-0.0004643720901242201,0.402029440620366,4000.0,exact,0.46099931798094607,rejection__adaptive.log,rejection,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
0.004627271008322671,0.1840448766307215,4000.0,exact,0.5882175617419926,rejection__adaptive.log,rejection,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
-0.0036908358772555798,0.48222615696587,4000.0,exact,0.6983222837703001,rejection__adaptive.log,rejection,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
-0.004832280085816658,0.06883054713252637,4000.0,exact,0.3209073410470577,rejection__adaptive.log,rejection,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
0.0016477961140239045,0.7980435461255109,4000.0,exact,0.3713661406670344,rejection__enum_sampling.log,rejection,0.0,4000.0,0.0,0,100000,1,OK,100000,enum_sampling
-0.0004643720901242201,0.402029440620366,4000.0,exact,0.46099931798094607,rejection__enum_sampling.log,rejection,0.0,4000.0,0.0,1,100000,2,OK,100000,enum_sampling
0.004627271008322671,0.1840448766307215,4000.0,exact,0.5882175617419926,rejection__enum_sampling.log,rejection,0.0,4000.0,0.0,2,100000,3,OK,100000,enum_sampling
-0.0036908358772555798,0.48222615696587,4000.0,exact,0.6983222837703001,rejection__enum_sampling.log,rejection,0.0,4000.0,0.0,3,100000,4,OK,100000,enum_sampling
-0.004832280085816658,0.06883054713252637,4000.0,exact,0.3209073410470577,rejection__enum_sampling.log,rejection,0.0,4000.0,0.0,4,100000,5,OK,100000,enum_sampling
-0.00439180772222204,0.6371561638847709,4095.41256,est,0.8140538830859415,rejection__sampling.log,rejection,0.0,4000.0,0.023853140000000054,0,100000,1,OK,100000,sampling
0.002646572493079531,0.13277986554311727,3898.04328,est,0.6085044845778798,rejection__sampling.log,rejection,0.0,4000.0,-0.02548918000000003,1,100000,2,OK,100000,sampling
0.0007053755558795991,0.8670232984332819,4026.88156,est,0.5495755935984632,rejection__sampling.log,rejection,0.0,4000.0,0.006720389999999952,2,100000,3,OK,100000,sampling
-0.007699627654580809,0.21955230705909246,3972.05676,est,0.4177733582952305,rejection__sampling.log,rejection,0.0,4000.0,-0.006985810000000015,3,100000,4,OK,100000,sampling
-0.0034421539400102557,0.5275369895044904,4095.41256,est,0.003435302117057524,rejection__sampling.log,rejection,0.0,4000.0,0.023853140000000054,4,100000,5,OK,100000,sampling
0.0019065531231938814,0.7980435461255109,4000.0,exact,0.9049379424187978,sirs__adaptive.log,sirs,0.0,4000.0,0.0,0,100000,1,OK,100000,adaptive
0.0004987475039765566,0.402029440620366,4000.0,exact,0.7329152397926633,sirs__adaptive.log,sirs,0.0,4000.0,0.0,1,100000,2,OK,100000,adaptive
-1.4412047630350451e-05,0.1840448766307215,4000.0,exact,0.7589656095773282,sirs__adaptive.log,sirs,0.0,4000.0,0.0,2,100000,3,OK,100000,adaptive
-0.0033575824590665717,0.48222615696587,4000.0,exact,0.8281424366508836,sirs__adaptive.log,sirs,0.0,4000.0,0.0,3,100000,4,OK,100000,adaptive
-0.0021592120802193865,0.06883054713252637,4000.0,exact,0.5065716831141696,sirs__adaptive.log,sirs,0.0,4000.0,0.0,4,100000,5,OK,100000,adaptive
