dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N200000_alpha200_seed1,2,kd_tree,sampling,0,1,200000,200000,100000,1,1378.53,8.00296e+07,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":38.412478,""count_join_via_kd_tree_ms"":852.912787,""run_build_ms"":38.843699,""run_count_ms"":852.917507,""run_sample_ms"":486.768253,""sample_join_via_kd_tree_ms"":486.764063}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,kd_tree,sampling,1,2,200000,200000,100000,1,1373.1,8.00296e+07,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":35.682494,""count_join_via_kd_tree_ms"":850.637401,""run_build_ms"":36.117325,""run_count_ms"":850.641020,""run_sample_ms"":486.335620,""sample_join_via_kd_tree_ms"":486.332449}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,kd_tree,sampling,2,3,200000,200000,100000,1,1404.17,8.00296e+07,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":35.677933,""count_join_via_kd_tree_ms"":884.591279,""run_build_ms"":36.111183,""run_count_ms"":884.594759,""run_sample_ms"":483.461527,""sample_join_via_kd_tree_ms"":483.458277}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,kd_tree,sampling,3,4,200000,200000,100000,1,1380.9,8.00296e+07,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":35.701291,""count_join_via_kd_tree_ms"":861.858117,""run_build_ms"":36.135271,""run_count_ms"":861.861167,""run_sample_ms"":482.896407,""sample_join_via_kd_tree_ms"":482.893527}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,kd_tree,sampling,4,5,200000,200000,100000,1,1381.35,8.00296e+07,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":35.662760,""count_join_via_kd_tree_ms"":861.752695,""run_build_ms"":36.096161,""run_count_ms"":861.756465,""run_sample_ms"":483.493585,""sample_join_via_kd_tree_ms"":483.490435}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
