dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N1000000_alpha200_seed1,2,ours,sampling,0,1,1000000,1000000,10000000,1,60483,4.03242e+08,1,nan,nan,nan,0,0,0,,0,"{""build_events_ms"":456.973723,""build_mode_family_ms"":506.342118,""phase1_count_ms"":27146.429967,""phase2_plan_ms"":340.006304,""phase3_sample_ms"":31988.271287,""run_build_ms"":994.488248,""run_count_ms"":27146.433256,""run_sample_ms"":32342.027671}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t10000000/sjs_adaptive/ours/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,ours,sampling,1,2,1000000,1000000,10000000,1,63334.3,4.03242e+08,1,nan,nan,nan,0,0,0,,0,"{""build_events_ms"":575.984633,""build_mode_family_ms"":493.607264,""phase1_count_ms"":26850.933659,""phase2_plan_ms"":343.467857,""phase3_sample_ms"":31983.123188,""run_build_ms"":1090.732196,""run_count_ms"":26850.936539,""run_sample_ms"":32345.129314}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t10000000/sjs_adaptive/ours/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,ours,sampling,2,3,1000000,1000000,10000000,1,63314.1,4.03242e+08,1,nan,nan,nan,0,0,0,,0,"{""build_events_ms"":410.368250,""build_mode_family_ms"":488.425986,""phase1_count_ms"":26863.794129,""phase2_plan_ms"":344.536446,""phase3_sample_ms"":31976.434679,""run_build_ms"":919.920925,""run_count_ms"":26863.796779,""run_sample_ms"":32340.883431}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t10000000/sjs_adaptive/ours/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,ours,sampling,3,4,1000000,1000000,10000000,1,63245.3,4.03242e+08,1,nan,nan,nan,0,0,0,,0,"{""build_events_ms"":410.375653,""build_mode_family_ms"":495.397398,""phase1_count_ms"":26759.900500,""phase2_plan_ms"":364.541636,""phase3_sample_ms"":31971.447315,""run_build_ms"":926.910279,""run_count_ms"":26759.903030,""run_sample_ms"":32355.979237}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t10000000/sjs_adaptive/ours/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,ours,sampling,4,5,1000000,1000000,10000000,1,63373.8,4.03242e+08,1,nan,nan,nan,0,0,0,,0,"{""build_events_ms"":410.599794,""build_mode_family_ms"":488.379104,""phase1_count_ms"":26826.670938,""phase2_plan_ms"":352.735077,""phase3_sample_ms"":32059.707851,""run_build_ms"":920.071647,""run_count_ms"":26826.673928,""run_sample_ms"":32432.418222}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t10000000/sjs_adaptive/ours/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
