dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,30000,3,1,354.766,30.4167,370.634,373.634,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,sampling,100000,3,1,498.98,30.5731,515.857,517.24,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,enum_sampling,100000,3,1,454.372,28.1687,469.659,471.399,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,100000,3,1,353.54,31.1574,368.693,373.67,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,sampling,300000,3,1,506.203,29.3459,521.12,524.696,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,enum_sampling,300000,3,1,473.426,26.8505,488.44,489.313,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,300000,3,1,352.942,29.5364,367.636,371.788,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,sampling,1000000,3,1,529.081,26.9011,540.115,547.851,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,enum_sampling,1000000,3,1,551.711,27.4152,565.9,568.802,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,1000000,3,1,357.318,25.9105,372.151,372.378,6000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,1000,3,1,492.833,28.6694,506.337,511.665,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,1000,3,1,444.464,30.7275,459.416,464.311,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,1000,3,1,351.05,27.5331,366.277,367.473,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,3000,3,1,491.863,26.5653,506.442,507.797,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,3000,3,1,444.668,30.1064,460.102,463.545,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,3000,3,1,351.11,28.1009,366.486,368,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,10000,3,1,492.414,27.2793,507.971,508.318,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,10000,3,1,444.827,27.6663,458.912,462.246,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,10000,3,1,351.038,26.6382,366.323,366.494,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,30000,3,1,491.992,26.81,505.804,508.753,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,30000,3,1,448.181,27.5081,462.36,465.373,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,30000,3,1,351.902,26.0226,366.874,366.968,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,100000,3,1,496.614,26.5053,510.328,513.14,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,100000,3,1,452.645,30.4998,469.574,470.791,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,100000,3,1,354.176,29.0622,370.689,371.167,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,300000,3,1,500.43,29.8157,516.189,518.772,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,300000,3,1,475.947,27.4667,490.776,492.608,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,300000,3,1,354.815,31.2201,370.367,374.721,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,sampling,1000000,3,1,526.015,25.3733,540.277,540.971,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,enum_sampling,1000000,3,1,553.048,26.7132,564.924,571.079,20000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em01__g1,stripe,0.1,100000,100000,ours,adaptive,1000000,3,1,357.304,28.0468,372.363,374.38,20000,0,1,
