dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N1000000_alpha300_seed1,2,ours,enum_sampling,0,1,1000000,1000000,100000,1,44389.3,6.05877e+08,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":430.430043,""build_mode_family_ms"":509.237840,""phase1_enumerate_materialize_ms"":43418.250071,""phase2_resample_ms"":3.724751,""run_build_ms"":967.294710,""run_count_ms"":43418.261491,""run_sample_ms"":3.726571}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha300_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha300_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha300_seed1,2,ours,enum_sampling,1,2,1000000,1000000,100000,1,44354.2,6.05877e+08,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":564.138950,""build_mode_family_ms"":486.806923,""phase1_enumerate_materialize_ms"":40244.638974,""phase2_resample_ms"":3.721462,""run_build_ms"":1071.393395,""run_count_ms"":40244.643224,""run_sample_ms"":3.722722}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha300_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha300_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha300_seed1,2,ours,enum_sampling,2,3,1000000,1000000,100000,1,44165,6.05877e+08,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":410.912846,""build_mode_family_ms"":487.419034,""phase1_enumerate_materialize_ms"":40082.908746,""phase2_resample_ms"":3.581183,""run_build_ms"":918.841782,""run_count_ms"":40082.912607,""run_sample_ms"":3.582443}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha300_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha300_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha300_seed1,2,ours,enum_sampling,3,4,1000000,1000000,100000,1,44245.4,6.05877e+08,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":411.126353,""build_mode_family_ms"":496.617522,""phase1_enumerate_materialize_ms"":40159.266625,""phase2_resample_ms"":3.589073,""run_build_ms"":928.361426,""run_count_ms"":40159.270935,""run_sample_ms"":3.590333}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha300_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha300_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha300_seed1,2,ours,enum_sampling,4,5,1000000,1000000,100000,1,44169.4,6.05877e+08,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":411.041754,""build_mode_family_ms"":486.718392,""phase1_enumerate_materialize_ms"":40079.713511,""phase2_resample_ms"":3.575722,""run_build_ms"":918.245187,""run_count_ms"":40079.718151,""run_sample_ms"":3.576862}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha300_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha300_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha300_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
