dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
exp4_alpha5_N400000,rejection,enum_sampling,0,1,400000,400000,100000,1,21393.3,4e+06,1,nan,nan,nan,1,0,50000000,,0,"{""build_ms"":1205.851384,""build_M_ms"":0.422662,""build_cellmap_ms"":18.903210,""build_mu_alias_ms"":1185.893664,""build_slab_index_ms"":0.081399,""run_build_ms"":1205.858744,""run_draw_ranks_ms"":8.396147,""run_enum_pass1_count_ms"":20123.559370,""run_enum_pass2_select_ms"":55.440675,""run_enum_prepare_ms"":0.015649}",,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha5_N400000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""rejection"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N400000/rejection/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha5_N400000,rejection,enum_sampling,1,2,400000,400000,100000,1,21598.2,4e+06,1,nan,nan,nan,1,0,50000000,,0,"{""build_ms"":1134.796024,""build_M_ms"":0.430631,""build_cellmap_ms"":31.637151,""build_mu_alias_ms"":1102.642543,""build_slab_index_ms"":0.073389,""run_build_ms"":1134.971861,""run_draw_ranks_ms"":8.386495,""run_enum_pass1_count_ms"":20355.934504,""run_enum_pass2_select_ms"":55.713089,""run_enum_prepare_ms"":0.017550}",,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha5_N400000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""rejection"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N400000/rejection/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha5_N400000,rejection,enum_sampling,2,3,400000,400000,100000,1,21643.8,4e+06,1,nan,nan,nan,1,0,50000000,,0,"{""build_ms"":1120.110813,""build_M_ms"":0.431462,""build_cellmap_ms"":17.129434,""build_mu_alias_ms"":1102.465188,""build_slab_index_ms"":0.072089,""run_build_ms"":1120.280019,""run_draw_ranks_ms"":8.458224,""run_enum_pass1_count_ms"":20408.440026,""run_enum_pass2_select_ms"":60.995527,""run_enum_prepare_ms"":0.015350}",,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha5_N400000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""rejection"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N400000/rejection/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha5_N400000,rejection,enum_sampling,3,4,400000,400000,100000,1,21668.2,4e+06,1,nan,nan,nan,1,0,50000000,,0,"{""build_ms"":1116.285897,""build_M_ms"":0.441101,""build_cellmap_ms"":16.684543,""build_mu_alias_ms"":1099.077954,""build_slab_index_ms"":0.070639,""run_build_ms"":1116.441064,""run_draw_ranks_ms"":8.504704,""run_enum_pass1_count_ms"":20440.374070,""run_enum_pass2_select_ms"":55.582783,""run_enum_prepare_ms"":0.016120}",,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha5_N400000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""rejection"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N400000/rejection/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha5_N400000,rejection,enum_sampling,4,5,400000,400000,100000,1,21863.9,4e+06,1,nan,nan,nan,1,0,50000000,,0,"{""build_ms"":1103.813033,""build_M_ms"":0.434942,""build_cellmap_ms"":17.221303,""build_mu_alias_ms"":1086.073900,""build_slab_index_ms"":0.071608,""run_build_ms"":1103.981739,""run_draw_ranks_ms"":8.452874,""run_enum_pass1_count_ms"":20640.614461,""run_enum_pass2_select_ms"":55.691041,""run_enum_prepare_ms"":0.014739}",,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha5_N400000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha5/exp4_alpha5_N400000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""rejection"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha5/alpha5_t100000/N400000/rejection/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
