dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
exp4_alpha100_N800000,tlsop,enum_sampling,0,1,800000,800000,100000,1,30264.7,5e+07,0,nan,nan,nan,1,1,50000000,,0,"{""build_ms"":5199.902772,""enumerate_prepare_ms"":0.021879,""run_build_ms"":5199.907302,""run_draw_ranks_ms"":8.402839,""run_enum_pass1_count_ms"":12511.904135,""run_enum_pass2_select_ms"":12543.847906,""run_enum_prepare_ms"":0.023179,""tlsop_alloc_tiles_ms"":0.270835,""tlsop_build_ms"":5199.901502,""tlsop_build_edges_ms"":0.003060,""tlsop_pass1_count_caps_ms"":111.378783,""tlsop_pass1_reserve_ms"":9.063897,""tlsop_pass2_fill_ms"":327.947459,""tlsop_sort_lists_ms"":4749.950980}",enumeration truncated by enum_cap; count/sample are for prefix only,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha100_N800000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""tlsop"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N800000/tlsop/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha100_N800000,tlsop,enum_sampling,1,2,800000,800000,100000,1,30306.6,5e+07,0,nan,nan,nan,1,1,50000000,,0,"{""build_ms"":5156.071266,""enumerate_prepare_ms"":0.020989,""run_build_ms"":5156.072726,""run_draw_ranks_ms"":8.392489,""run_enum_pass1_count_ms"":12540.206064,""run_enum_pass2_select_ms"":12599.840189,""run_enum_prepare_ms"":0.021899,""tlsop_alloc_tiles_ms"":0.052439,""tlsop_build_ms"":5156.070166,""tlsop_build_edges_ms"":0.000560,""tlsop_pass1_count_caps_ms"":113.700024,""tlsop_pass1_reserve_ms"":2.189371,""tlsop_pass2_fill_ms"":284.238718,""tlsop_sort_lists_ms"":4755.854804}",enumeration truncated by enum_cap; count/sample are for prefix only,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha100_N800000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""tlsop"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N800000/tlsop/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha100_N800000,tlsop,enum_sampling,2,3,800000,800000,100000,1,30294.9,5e+07,0,nan,nan,nan,1,1,50000000,,0,"{""build_ms"":5153.255751,""enumerate_prepare_ms"":0.021820,""run_build_ms"":5153.257171,""run_draw_ranks_ms"":8.436889,""run_enum_pass1_count_ms"":12537.930928,""run_enum_pass2_select_ms"":12593.546548,""run_enum_prepare_ms"":0.023170,""tlsop_alloc_tiles_ms"":0.052779,""tlsop_build_ms"":5153.254101,""tlsop_build_edges_ms"":0.000940,""tlsop_pass1_count_caps_ms"":111.204073,""tlsop_pass1_reserve_ms"":2.173301,""tlsop_pass2_fill_ms"":285.161380,""tlsop_sort_lists_ms"":4754.629248}",enumeration truncated by enum_cap; count/sample are for prefix only,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha100_N800000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""tlsop"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N800000/tlsop/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha100_N800000,tlsop,enum_sampling,3,4,800000,800000,100000,1,30158.3,5e+07,0,nan,nan,nan,1,1,50000000,,0,"{""build_ms"":5141.277442,""enumerate_prepare_ms"":0.021819,""run_build_ms"":5141.278752,""run_draw_ranks_ms"":8.513258,""run_enum_pass1_count_ms"":12489.395458,""run_enum_pass2_select_ms"":12517.440932,""run_enum_prepare_ms"":0.022989,""tlsop_alloc_tiles_ms"":0.052569,""tlsop_build_ms"":5141.276012,""tlsop_build_edges_ms"":0.001000,""tlsop_pass1_count_caps_ms"":111.708868,""tlsop_pass1_reserve_ms"":2.211750,""tlsop_pass2_fill_ms"":283.594497,""tlsop_sort_lists_ms"":4743.671478}",enumeration truncated by enum_cap; count/sample are for prefix only,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha100_N800000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""tlsop"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N800000/tlsop/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
exp4_alpha100_N800000,tlsop,enum_sampling,4,5,800000,800000,100000,1,30101.9,5e+07,0,nan,nan,nan,1,1,50000000,,0,"{""build_ms"":5140.640219,""enumerate_prepare_ms"":0.022289,""run_build_ms"":5140.641339,""run_draw_ranks_ms"":8.454159,""run_enum_pass1_count_ms"":12442.407196,""run_enum_pass2_select_ms"":12508.748566,""run_enum_prepare_ms"":0.023399,""tlsop_alloc_tiles_ms"":0.052629,""tlsop_build_ms"":5140.638309,""tlsop_build_edges_ms"":0.000970,""tlsop_pass1_count_caps_ms"":111.059013,""tlsop_pass1_reserve_ms"":2.171941,""tlsop_pass2_fill_ms"":283.075894,""tlsop_sort_lists_ms"":4744.243702}",enumeration truncated by enum_cap; count/sample are for prefix only,"{""dataset"":{""source"":""binary"",""name"":""exp4_alpha100_N800000"",""dim"":2,""path_r"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_R.bin"",""path_s"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/data/synthetic/exp4/alpha100/exp4_alpha100_N800000_S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""tlsop"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""j_star"":1000000,""enum_cap"":50000000,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N800000/tlsop/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}",{}
