dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N1000000_alpha200_seed1,2,range_tree,enum_sampling,0,1,1000000,1000000,3000000,1,60142.5,4.03242e+08,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":381.364121,""build_sweep_events_ms"":447.613818,""materialize_join_ms"":59226.822692,""run_build_ms"":831.628389,""run_count_ms"":59226.827312,""run_sample_ms"":83.998312}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":3000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t3000000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,range_tree,enum_sampling,1,2,1000000,1000000,3000000,1,57543.3,4.03242e+08,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":348.485165,""build_sweep_events_ms"":458.866060,""materialize_join_ms"":56624.831153,""run_build_ms"":809.560454,""run_count_ms"":56624.835513,""run_sample_ms"":80.160653}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":3000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t3000000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,range_tree,enum_sampling,2,3,1000000,1000000,3000000,1,57179.4,4.03242e+08,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":329.973953,""build_sweep_events_ms"":462.537919,""materialize_join_ms"":56274.817242,""run_build_ms"":794.749710,""run_count_ms"":56274.822342,""run_sample_ms"":79.698484}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":3000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t3000000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,range_tree,enum_sampling,3,4,1000000,1000000,3000000,1,57364.7,4.03242e+08,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":326.796592,""build_sweep_events_ms"":467.240834,""materialize_join_ms"":56460.825578,""run_build_ms"":796.263168,""run_count_ms"":56460.829698,""run_sample_ms"":76.234065}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":3000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t3000000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha200_seed1,2,range_tree,enum_sampling,4,5,1000000,1000000,3000000,1,57246.4,4.03242e+08,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":330.963929,""build_sweep_events_ms"":461.305076,""materialize_join_ms"":56343.188758,""run_build_ms"":794.490149,""run_count_ms"":56343.193468,""run_sample_ms"":76.089788}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":3000000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/C_t/rectgen_d2_N1000000_alpha200_seed1/t3000000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
