dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N200000_alpha200_seed1,2,ours,enum_sampling,0,1,200000,200000,100000,1,5974.47,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":77.687190,""build_mode_family_ms"":91.403435,""phase1_enumerate_materialize_ms"":5797.124777,""phase2_resample_ms"":2.847856,""run_build_ms"":174.479875,""run_count_ms"":5797.128587,""run_sample_ms"":2.849196}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,ours,enum_sampling,1,2,200000,200000,100000,1,6046.14,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":75.152032,""build_mode_family_ms"":86.974873,""phase1_enumerate_materialize_ms"":5322.256846,""phase2_resample_ms"":2.839077,""run_build_ms"":166.148036,""run_count_ms"":5322.261566,""run_sample_ms"":2.840047}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,ours,enum_sampling,2,3,200000,200000,100000,1,5988.18,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":78.087882,""build_mode_family_ms"":87.022180,""phase1_enumerate_materialize_ms"":5276.225199,""phase2_resample_ms"":2.665992,""run_build_ms"":169.147963,""run_count_ms"":5276.228869,""run_sample_ms"":2.666931}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,ours,enum_sampling,3,4,200000,200000,100000,1,6033.08,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":73.695179,""build_mode_family_ms"":86.988379,""phase1_enumerate_materialize_ms"":5313.859669,""phase2_resample_ms"":2.687861,""run_build_ms"":164.791437,""run_count_ms"":5313.862119,""run_sample_ms"":2.688902}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N200000_alpha200_seed1,2,ours,enum_sampling,4,5,200000,200000,100000,1,5977.52,8.00296e+07,1,nan,nan,nan,1,0,0,,0,"{""build_events_ms"":73.731264,""build_mode_family_ms"":87.069294,""phase1_enumerate_materialize_ms"":5268.815222,""phase2_resample_ms"":2.703661,""run_build_ms"":164.831950,""run_count_ms"":5268.818452,""run_sample_ms"":2.705231}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N200000_alpha200_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N200000_alpha200_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/B_N/rectgen_d2_N200000_alpha200_seed1/t100000/sjs_enum/ours/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
