dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N1000000_alpha1000_seed1,2,kd_tree,sampling,0,1,1000000,1000000,100000,1,18639.9,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":213.447193,""count_join_via_kd_tree_ms"":16203.944351,""run_build_ms"":215.620869,""run_count_ms"":16203.953461,""run_sample_ms"":2220.326785,""sample_join_via_kd_tree_ms"":2220.313265}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,kd_tree,sampling,1,2,1000000,1000000,100000,1,18625.8,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":203.446749,""count_join_via_kd_tree_ms"":16204.591837,""run_build_ms"":205.621215,""run_count_ms"":16204.597437,""run_sample_ms"":2215.589747,""sample_join_via_kd_tree_ms"":2215.585977}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,kd_tree,sampling,2,3,1000000,1000000,100000,1,18620.2,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":203.367560,""count_join_via_kd_tree_ms"":16198.830457,""run_build_ms"":205.516528,""run_count_ms"":16198.836947,""run_sample_ms"":2215.839703,""sample_join_via_kd_tree_ms"":2215.834853}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,kd_tree,sampling,3,4,1000000,1000000,100000,1,18613.8,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":203.362532,""count_join_via_kd_tree_ms"":16186.634665,""run_build_ms"":205.512878,""run_count_ms"":16186.638744,""run_sample_ms"":2221.641463,""sample_join_via_kd_tree_ms"":2221.637513}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,kd_tree,sampling,4,5,1000000,1000000,100000,1,18549.1,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_kd_tree_ms"":203.495214,""count_join_via_kd_tree_ms"":16126.196910,""run_build_ms"":205.671067,""run_count_ms"":16126.202440,""run_sample_ms"":2217.256841,""sample_join_via_kd_tree_ms"":2217.252981}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/kds_sampling/kd_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
