alpha\t,1000,3000,10000,30000,100000,300000,1000000
0.01,2,2,2,2,2,2,2
0.03,2,2,2,2,2,2,2
0.1,2,2,2,2,2,2,2
0.3,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2
10,1,1,1,1,1,1,0
30,0,0,0,0,0,0,0
