dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N1000000_alpha1000_seed1,2,range_tree,sampling,0,1,1000000,1000000,100000,1,105637,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_range_trees_ms"":370.599112,""build_sweep_events_ms"":448.982160,""pass1_count_ms"":54934.620053,""pass2_fill_ms"":49765.007156,""planning_ms"":73.254127,""run_build_ms"":825.461340,""run_count_ms"":54934.632362,""run_sample_ms"":49876.440728}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/rt_adaptive/range_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,range_tree,sampling,1,2,1000000,1000000,100000,1,104661,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_range_trees_ms"":331.033870,""build_sweep_events_ms"":460.460404,""pass1_count_ms"":54263.219176,""pass2_fill_ms"":49464.910282,""planning_ms"":66.278000,""run_build_ms"":794.195372,""run_count_ms"":54263.224166,""run_sample_ms"":49576.271541}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/rt_adaptive/range_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,range_tree,sampling,2,3,1000000,1000000,100000,1,102766,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_range_trees_ms"":323.505681,""build_sweep_events_ms"":476.777118,""pass1_count_ms"":52974.918242,""pass2_fill_ms"":48868.987200,""planning_ms"":60.188853,""run_build_ms"":803.074385,""run_count_ms"":52974.923072,""run_sample_ms"":48958.650706}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/rt_adaptive/range_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,range_tree,sampling,3,4,1000000,1000000,100000,1,102194,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_range_trees_ms"":322.185882,""build_sweep_events_ms"":472.007017,""pass1_count_ms"":52241.303703,""pass2_fill_ms"":49028.868752,""planning_ms"":60.133569,""run_build_ms"":796.984452,""run_count_ms"":52241.308593,""run_sample_ms"":49127.068834}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/rt_adaptive/range_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha1000_seed1,2,range_tree,sampling,4,5,1000000,1000000,100000,1,103821,1.99532e+09,1,nan,nan,nan,0,0,0,,0,"{""build_range_trees_ms"":323.374270,""build_sweep_events_ms"":479.650968,""pass1_count_ms"":54171.981505,""pass2_fill_ms"":48716.213721,""planning_ms"":60.392306,""run_build_ms"":805.858072,""run_count_ms"":54171.986025,""run_sample_ms"":48814.721511}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha1000_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha1000_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha1000_seed1/t100000/rt_adaptive/range_tree/sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
