dataset,dim,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
rectgen_d2_N1000000_alpha3_seed1,2,range_tree,enum_sampling,0,1,1000000,1000000,100000,1,21866.2,6.03379e+06,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":376.866485,""build_sweep_events_ms"":443.628154,""materialize_join_ms"":21040.569190,""run_build_ms"":823.088695,""run_count_ms"":21040.573620,""run_sample_ms"":2.515917}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha3_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha3_seed1/t100000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha3_seed1,2,range_tree,enum_sampling,1,2,1000000,1000000,100000,1,22032,6.03379e+06,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":346.072190,""build_sweep_events_ms"":455.114721,""materialize_join_ms"":21197.458119,""run_build_ms"":803.398512,""run_count_ms"":21197.462220,""run_sample_ms"":2.490127}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha3_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha3_seed1/t100000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha3_seed1,2,range_tree,enum_sampling,2,3,1000000,1000000,100000,1,21805.8,6.03379e+06,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":328.665952,""build_sweep_events_ms"":471.939970,""materialize_join_ms"":20972.056287,""run_build_ms"":802.826563,""run_count_ms"":20972.060217,""run_sample_ms"":2.514237}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha3_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha3_seed1/t100000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha3_seed1,2,range_tree,enum_sampling,3,4,1000000,1000000,100000,1,21890.4,6.03379e+06,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":322.750915,""build_sweep_events_ms"":456.624715,""materialize_join_ms"":21077.462287,""run_build_ms"":781.611501,""run_count_ms"":21077.465857,""run_sample_ms"":2.510887}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha3_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha3_seed1/t100000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
rectgen_d2_N1000000_alpha3_seed1,2,range_tree,enum_sampling,4,5,1000000,1000000,100000,1,21958.9,6.03379e+06,1,nan,nan,nan,1,0,0,,0,"{""build_range_trees_ms"":322.972850,""build_sweep_events_ms"":466.504593,""materialize_join_ms"":21136.140457,""run_build_ms"":791.704243,""run_count_ms"":21136.144636,""run_sample_ms"":2.515567}",,"{""dataset"":{""source"":""binary"",""name"":""rectgen_d2_N1000000_alpha3_seed1"",""dim"":2,""path_r"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/R.bin"",""path_s"":""data/synthetic/exp2_d2/rectgen_d2_N1000000_alpha3_seed1/S.bin"",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":5,""budget"":10000000,""w_small"":1024,""prefetch"":true,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""results/exp2_d2/A_alpha/rectgen_d2_N1000000_alpha3_seed1/t100000/rt_enum/range_tree/enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false},""run_extra"":{""budget"":""10000000"",""prefetch"":""1"",""w_small"":""1024""}}",{}
